Word,Valence,ValenceCategory,Arousal,ArousalCategory,CategoryIndex
recreational,0.43999999999999995,H,-0.02499999999999991,H,8
recruit,-0.11749999999999994,L,-0.05750000000000011,H,2
recruiter,0.1399999999999999,M,-0.20750000000000002,M,4
recruitment,-0.0475000000000001,L,-0.25,M,1
rectal,-0.525,L,-0.14749999999999996,H,2
rectangular,0.0625,L,-0.575,L,0
rectify,0.1499999999999999,M,-0.35750000000000004,L,3
rectory,-0.21500000000000008,L,-0.27249999999999996,M,1
rectum,-0.4425,L,-0.20500000000000007,M,1
recurring,-0.14500000000000002,L,-0.39249999999999996,L,0
recycle,0.2849999999999999,M,-0.3125,M,4
recycled,0.06499999999999995,L,-0.3325,M,1
recycling,0.3125,M,-0.37,L,3
red,0.16749999999999998,M,0.004999999999999893,H,5
redecorate,0.31000000000000005,M,-0.5,L,3
redeem,0.23750000000000004,M,-0.19999999999999996,M,4
redemption,0.3325,M,-0.32999999999999996,M,4
redesign,0.18999999999999995,M,-0.11499999999999999,H,5
redhead,0.4275,H,-0.27249999999999996,M,7
redheaded,0.4175,H,-0.26249999999999996,M,7
redirect,-0.17999999999999994,L,-0.48750000000000004,L,0
redneck,-0.1499999999999999,L,-0.125,H,2
redo,-0.08000000000000007,L,-0.03750000000000009,H,2
reduce,0.02499999999999991,L,-0.3325,M,1
reduction,0.0,L,-0.5,L,0
redundancy,-0.28500000000000003,L,-0.4125,L,0
redundant,-0.2250000000000001,L,-0.48750000000000004,L,0
redwood,0.16999999999999993,M,-0.4625,L,3
Reebox,0.10000000000000009,L,-0.53,L,0
reef,0.15749999999999997,M,-0.3325,M,4
reefer,-0.14500000000000002,L,0.07250000000000001,H,2
reek,-0.67,L,-0.03499999999999992,H,2
reel,0.125,M,-0.39,L,3
reelection,0.08749999999999991,L,-0.16999999999999993,M,1
reenactment,0.11250000000000004,M,-0.21500000000000008,M,4
reentry,-0.08250000000000002,L,-0.35750000000000004,L,0
reestablish,0.2849999999999999,M,-0.25,M,4
ref,0.08749999999999991,L,-0.405,L,0
refer,0.04499999999999993,L,-0.22750000000000004,M,1
referee,0.02499999999999991,L,-0.3375,L,0
